organisation,org_acronym,org_type,project_sector,activities,status,state,lga,ward,ishrp,response_type,isrp,people_reached,month,year
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,Yes,94.66666667,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,Yes,174.6666667,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,Yes,175.6666667,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,Yes,227.0,Jun,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Ngetra,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Zowo,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Gubio Town II,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Gubio Town  I,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Mobbar,Chamba,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Buniyadi North / South,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Dadingel,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Goniri,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gotala/Gotumba,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gotala/Gotumba,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Ngurbuwa,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Ngurbuwa,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gujba,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Mutai,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,,Apr,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Mobbar,Layi,Yes,Humanitarian,,,Apr,2019
Agaji Global Unity Foundation,AGUF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Namtari,No,Humanitarian,Yes,54.0,May,2019
Agaji Global Unity Foundation,AGUF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Gude,No,Humanitarian,Yes,65.0,May,2019
Agaji Global Unity Foundation,AGUF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Vimtim,No,Humanitarian,Yes,113.0,May,2019
Agaji Global Unity Foundation,AGUF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Lokuwa,No,Humanitarian,Yes,103.0,May,2019
Agaji Global Unity Foundation,AGUF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Kolere,No,Humanitarian,Yes,94.0,May,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Gwange  I,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bulabulin,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Gamboru Liberty,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Shehuri North,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Mairi,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Dusuman,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Gongulong,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Mashamari,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Dusuman,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Bale Galtimari,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Bale Galtimari,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Dalori / Wanori,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Apr,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Jewu / Lamboa,Yes,Humanitarian,,,Apr,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola North,Doubeli,No,Humanitarian,,,Apr,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola North,Gwadabawa,No,Humanitarian,,,Apr,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola North,Jambutu,No,Humanitarian,,,Apr,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola North,Karena,No,Humanitarian,,,Apr,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola North,Luggere,No,Humanitarian,,,Apr,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola North,Nassarawo,No,Humanitarian,,,Apr,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Ngala,Ngala Ward,Yes,Humanitarian,Yes,630.3333333,May,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Ngala,Ngala Ward,Yes,Humanitarian,Yes,495.3333333,May,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Mobbar,Damasak,Yes,Humanitarian,Yes,728.0,May,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Mobbar,Damasak,Yes,Humanitarian,Yes,508.3333333,May,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,Yes,5173.0,May,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,Yes,794.0,May,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Bama,Kumshe /Nduguno,Yes,Humanitarian,Yes,12467.0,May,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Bama,Kumshe /Nduguno,Yes,Humanitarian,Yes,918.0,May,2019
