org_acronym,organisation,org_type,operation_type,project_sector,activities,status,state,state_pcode,lga,lga_pcode,ishrp,response_type,month,year
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,"livelihood, Employment and Income generation",Ongoing,Borno,NGA008,Jere,NG008013,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,WASH,House to House Visits,Ongoing,Borno,NGA008,Maiduguri,NG008021,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,WASH,WASHComs Establishment and Training,Ongoing,Yobe,NGA036,Nangere,NG036012,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,WASH,WASHComs Establishment and Training,Ongoing,Yobe,NGA036,Potiskum,NG036014,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,WASH,Establishment and Training of Rotational Waste Management Committee,Ongoing,Yobe,NGA036,Potiskum,NG036014,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,WASH,House to House Visits,Ongoing,Yobe,NGA036,Potiskum,NG036014,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,WASH,Water Trucking,Ongoing,Borno,NGA008,Bama,NG008003,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,WASH,Replenishment Hygiene Kit Distribution,Ongoing,Yobe,NGA036,Potiskum,NG036014,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,SHL,Improved NFI kit (distribution),Completed,Borno,NGA008,Mafa,NG008019,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,SHL,Emergency shelter Kit (distribution),Completed,Borno,NGA008,Mafa,NG008019,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,SHL,Emergency shelter Kit (distribution),Completed,Borno,NGA008,Mobbar,NG008023,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,SHL,Improved NFI kit (distribution),Completed,Borno,NGA008,Mafa,NG008019,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,SHL,Emergency shelter Kit (distribution),Completed,Borno,NGA008,Mafa,NG008019,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,Governance Restoration/government capacity building,Ongoing,Borno,NGA008,Jere,NG008013,No,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,SHL,Emergency shelter Kit (distribution),Completed,Borno,NGA008,Mobbar,NG008023,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,SHL,Major Repair/Improvements of permanent buildings,Completed,Yobe,NGA036,Potiskum,NG036014,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,SHL,Improved NFI kit (distribution),Completed,Yobe,NGA036,Bade,NG036001,Yes,Humanitarian,Feb,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,SHL,Major Repair/Improvements of permanent buildings,Completed,Yobe,NGA036,Bade,NG036001,Yes,Humanitarian,Feb,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,SHL,Improved NFI kit (distribution),Completed,Borno,NGA008,Mobbar,NG008023,Yes,Humanitarian,Feb,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,SHL,Emergency shelter Kit,Completed,Borno,NGA008,Mobbar,NG008023,Yes,Humanitarian,Feb,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,SHL,Improved NFI kit (distribution),Completed,Yobe,NGA036,Bade,NG036001,Yes,Humanitarian,Feb,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,SHL,Major Repair/Improvements of permanent buildings,Completed,Yobe,NGA036,Bade,NG036001,Yes,Humanitarian,Feb,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,SHL,Improved NFI kit (distribution),Completed,Borno,NGA008,Mobbar,NG008023,Yes,Humanitarian,Feb,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,SHL,Emergency shelter Kit,Completed,Borno,NGA008,Mobbar,NG008023,Yes,Humanitarian,Feb,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Mafa,NG008019,No,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,"livelihood, Employment and Income generation",Ongoing,Borno,NGA008,Maiduguri,NG008021,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Maiduguri,NG008021,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Jere,NG008013,No,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,"livelihood, Employment and Income generation",Ongoing,Adamawa,NGA002,Gombi,NG002004,No,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Gombi,NG002004,No,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Bama,NG008003,No,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Ngala,NG008025,No,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,"livelihood, Employment and Income generation",Ongoing,Adamawa,NGA002,Gombi,NG002004,No,Humanitarian,Feb,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,Governance Restoration/government capacity building,Ongoing,Borno,NGA008,Maiduguri,NG008021,No,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Damaturu,NG036003,No,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Jere,NG008013,No,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Damaturu,NG036003,No,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,ERL,"Social cohesion, reconscilliation and security",Ongoing,Yobe,NGA036,Damaturu,NG036003,No,Humanitarian,Jan,2023
AAN,Actionaid Nigeria,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Maiduguri,NG008021,Yes,Humanitarian,Jan,2023
AUN,American University Of Nigeria,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Maiduguri,NG008021,Yes,Humanitarian,Mar,2023
AUN,American University Of Nigeria,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Ngala,NG008025,Yes,Humanitarian,Mar,2023
AUN,American University Of Nigeria,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Bama,NG008003,Yes,Humanitarian,Mar,2023
AUN,American University Of Nigeria,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Damaturu,NG036003,Yes,Humanitarian,Mar,2023
AUN,American University Of Nigeria,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Maiduguri,NG008021,Yes,Humanitarian,Mar,2023
AUN,American University Of Nigeria,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Ngala,NG008025,Yes,Humanitarian,Mar,2023
AUN,American University Of Nigeria,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Bama,NG008003,Yes,Humanitarian,Mar,2023
AUN,American University Of Nigeria,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Damaturu,NG036003,Yes,Humanitarian,Mar,2023
AUN,American University Of Nigeria,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Gujba,NG036007,Yes,Humanitarian,Mar,2023
CATAI,"Center for Advocacy, Transparency and Accountability Initiative",NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Maiduguri,NG008021,Yes,Humanitarian,Jan,2023
CNEF,Cosmic Nudge Empowerment Foundation,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Maiduguri,NG008021,No,Humanitarian,Mar,2023
CNEF,Cosmic Nudge Empowerment Foundation,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Maiduguri,NG008021,No,Humanitarian,Mar,2023
COCOSOHDI,"Communal Conservation Friendly, Health and Social Development Support Initiative ",NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Bade,NG036001,No,Humanitarian,Feb,2023
COCOSOHDI,"Communal Conservation Friendly, Health and Social Development Support Initiative ",NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Yusufari,NG036017,No,Humanitarian,Feb,2023
COCOSOHDI,"Communal Conservation Friendly, Health and Social Development Support Initiative ",NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Yusufari,NG036017,No,Humanitarian,Mar,2023
COCOSOHDI,"Communal Conservation Friendly, Health and Social Development Support Initiative ",NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Yusufari,NG036017,No,Humanitarian,Mar,2023
DRC,Danish Refugee Council,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Maiduguri,NG008021,Yes,Humanitarian,Jan,2023
DRC,Danish Refugee Council,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Jere,NG008013,Yes,Humanitarian,Jan,2023
DRC,Danish Refugee Council,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Maiduguri,NG008021,Yes,Humanitarian,Jan,2023
DRC,Danish Refugee Council,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Jere,NG008013,Yes,Humanitarian,Jan,2023
FRAD,Future Resilience And Development Foundation,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Maiduguri,NG008021,Yes,Humanitarian,Jan,2023
FRAD,Future Resilience And Development Foundation,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Maiduguri,NG008021,Yes,Humanitarian,Jan,2023
GGI,Green Generation Initiative,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Maiduguri,NG008021,No,Humanitarian,Jan,2023
GGI,Green Generation Initiative,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Maiduguri,NG008021,No,Humanitarian,Jan,2023
GREENCODE,Green Concern For Development,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Magumeri,NG008020,Yes,Humanitarian,Jan,2023
GREENCODE,Green Concern For Development,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Nganzai,NG008026,Yes,Humanitarian,Jan,2023
GREENCODE,Green Concern For Development,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Nganzai,NG008026,Yes,Humanitarian,Mar,2023
GREENCODE,Green Concern For Development,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Magumeri,NG008020,Yes,Humanitarian,Mar,2023
GREENCODE,Green Concern For Development,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Nganzai,NG008026,Yes,Humanitarian,Mar,2023
GREENCODE,Green Concern For Development,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Magumeri,NG008020,Yes,Humanitarian,Mar,2023
GSF,Grow Strong Foundation,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Damaturu,NG036003,No,Humanitarian,Feb,2023
GSF,Grow Strong Foundation,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Damaturu,NG036003,No,Humanitarian,Feb,2023
GSF,Grow Strong Foundation,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Girei,NG002005,No,Humanitarian,Mar,2023
GSF,Grow Strong Foundation,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Michika,NG002013,No,Humanitarian,Mar,2023
GSF,Grow Strong Foundation,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Askira/Uba,NG008002,No,Humanitarian,Mar,2023
GSF,Grow Strong Foundation,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Hawul,NG008012,No,Humanitarian,Mar,2023
GSF,Grow Strong Foundation,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Biu,NG008005,No,Humanitarian,Mar,2023
GZDI,Goggoji Zumunchi Development Initiative,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Madagali,NG002010,No,Humanitarian,Jan,2023
GZDI,Goggoji Zumunchi Development Initiative,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Michika,NG002013,No,Humanitarian,Jan,2023
INTERSOS,Intersos Humanitarian Aid Organization,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Bama,NG008003,No,Humanitarian,Jan,2023
INTERSOS,Intersos Humanitarian Aid Organization,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Monguno,NG008024,No,Humanitarian,Jan,2023
INTERSOS,Intersos Humanitarian Aid Organization,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Ngala,NG008025,No,Humanitarian,Jan,2023
INTERSOS,Intersos Humanitarian Aid Organization,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Dikwa,NG008008,No,Humanitarian,Jan,2023
INTERSOS,Intersos Humanitarian Aid Organization,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Konduga,NG008016,No,Humanitarian,Jan,2023
INTERSOS,Intersos Humanitarian Aid Organization,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Konduga,NG008016,No,Humanitarian,Jan,2023
INTERSOS,Intersos Humanitarian Aid Organization,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Monguno,NG008024,No,Humanitarian,Jan,2023
INTERSOS,Intersos Humanitarian Aid Organization,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Dikwa,NG008008,No,Humanitarian,Jan,2023
IRC,International Rescue Committee,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Jere,NG008013,No,Humanitarian,Jan,2023
IRC,International Rescue Committee,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Damaturu,NG036003,No,Humanitarian,Jan,2023
IRC,International Rescue Committee,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Jere,NG008013,No,Humanitarian,Mar,2023
IRC,International Rescue Committee,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Damaturu,NG036003,No,Humanitarian,Mar,2023
JDPC,Justice Development And Peace Commission,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Gombi,NG002004,No,Humanitarian,Jan,2023
JRS,Jesuit Refugee Service,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Girei,NG002005,No,Humanitarian,Feb,2023
JRS,Jesuit Refugee Service,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Michika,NG002013,No,Humanitarian,Feb,2023
JRS,Jesuit Refugee Service,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Biu,NG008005,No,Humanitarian,Feb,2023
JRS,Jesuit Refugee Service,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Hawul,NG008012,No,Humanitarian,Feb,2023
JRS,Jesuit Refugee Service,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Askira/Uba,NG008002,No,Humanitarian,Feb,2023
JRS,Jesuit Refugee Service,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Girei,NG002005,No,Humanitarian,Feb,2023
JRS,Jesuit Refugee Service,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Michika,NG002013,No,Humanitarian,Feb,2023
JRS,Jesuit Refugee Service,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Biu,NG008005,No,Humanitarian,Feb,2023
JRS,Jesuit Refugee Service,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Hawul,NG008012,No,Humanitarian,Feb,2023
JRS,Jesuit Refugee Service,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Askira/Uba,NG008002,No,Humanitarian,Feb,2023
JRS,Jesuit Refugee Service,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Girei,NG002005,No,Humanitarian,Mar,2023
JRS,Jesuit Refugee Service,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Michika,NG002013,No,Humanitarian,Mar,2023
JRS,Jesuit Refugee Service,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Askira/Uba,NG008002,No,Humanitarian,Mar,2023
JRS,Jesuit Refugee Service,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Hawul,NG008012,No,Humanitarian,Mar,2023
JRS,Jesuit Refugee Service,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Biu,NG008005,No,Humanitarian,Mar,2023
LHI,Life Helpers Initiative,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Jere,NG008013,Yes,Humanitarian,Jan,2023
LHI,Life Helpers Initiative,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Jere,NG008013,Yes,Humanitarian,Feb,2023
NRM,Nkafamiya Rescue Mission,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Michika,NG002013,No,Humanitarian,Jan,2023
NRM,Nkafamiya Rescue Mission,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Michika,NG002013,No,Humanitarian,Feb,2023
NRM,Nkafamiya Rescue Mission,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Michika,NG002013,No,Humanitarian,Jan,2023
NRM,Nkafamiya Rescue Mission,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Michika,NG002013,No,Humanitarian,Feb,2023
PI,Plan International,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Mafa,NG008019,No,Humanitarian,Jan,2023
SC,Street Child,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Bade,NG036001,No,Humanitarian,Feb,2023
SC,Street Child,INGO,Implementing,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Yusufari,NG036017,No,Humanitarian,Feb,2023
SCI,Save The Children International,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Maiduguri,NG008021,Yes,Humanitarian,Jan,2023
TAHSERI,Touch A Heart Social And Economic Rights Initiative,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Mubi South,NG002015,No,Humanitarian,Mar,2023
TAHSERI,Touch A Heart Social And Economic Rights Initiative,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Mubi South,NG002015,No,Humanitarian,Mar,2023
UNHCR,United Nations High Commissioner For Refugees,UN Agency,Reporting,ERL,Early Recovery Activity,Ongoing,Yobe,NGA036,Gujba,NG036007,Yes,Humanitarian,Mar,2023
WFP,World Food Programme,UN Agency,Implementing,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Madagali,NG002010,No,Humanitarian,Jan,2023
WFP,World Food Programme,UN Agency,Implementing,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Michika,NG002013,No,Humanitarian,Jan,2023
ZOA,Zoa International,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Jere,NG008013,Yes,Humanitarian,Jan,2023
ZOA,Zoa International,INGO,Reporting,ERL,Early Recovery Activity,Ongoing,Borno,NGA008,Jere,NG008013,Yes,Humanitarian,Feb,2023
ZSF,Zireenza Support Foundation,NNGO,Reporting,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Mubi North,NG002014,No,Humanitarian,Jan,2023
ZSF,Zireenza Support Foundation,NNGO,Implementing,ERL,Early Recovery Activity,Ongoing,Adamawa,NGA002,Mubi North,NG002014,No,Humanitarian,Jan,2023
AGUF,Agaji Global Unity Foundation,NNGO,Reporting,HEA,Health Activity,Ongoing,Adamawa,NGA002,Guyuk,NG002006,Yes,Humanitarian,Jan,2023
AGUF,Agaji Global Unity Foundation,NNGO,Reporting,HEA,Health Activity,Ongoing,Adamawa,NGA002,Shelleng,NG002017,Yes,Humanitarian,Jan,2023
AGUF,Agaji Global Unity Foundation,NNGO,Reporting,HEA,Health Activity,Ongoing,Adamawa,NGA002,Guyuk,NG002006,Yes,Humanitarian,Feb,2023
AGUF,Agaji Global Unity Foundation,NNGO,Reporting,HEA,Health Activity,Ongoing,Adamawa,NGA002,Shelleng,NG002017,Yes,Humanitarian,Feb,2023
AGUF,Agaji Global Unity Foundation,NNGO,Implementing,HEA,Health Activity,Ongoing,Adamawa,NGA002,Guyuk,NG002006,Yes,Humanitarian,Jan,2023
AGUF,Agaji Global Unity Foundation,NNGO,Implementing,HEA,Health Activity,Ongoing,Adamawa,NGA002,Shelleng,NG002017,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,FSC,Food Assistance,Ongoing,Borno,NGA008,Monguno,NG008024,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,FSC,Food Assistance,Ongoing,Borno,NGA008,Nganzai,NG008026,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,FSC,Food Assistance,Ongoing,Borno,NGA008,Magumeri,NG008020,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,FSC,Food Assistance,Ongoing,Yobe,NGA036,Fika,NG036004,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,FSC,Food Assistance,Ongoing,Yobe,NGA036,Machina,NG036011,Yes,Humanitarian,Mar,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,FSC,Food assistance (cash / voucher / in kind),Ongoing,Borno,NGA008,Monguno,NG008024,Yes,Humanitarian,Feb,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,FSC,Food assistance (cash / voucher / in kind),Ongoing,Borno,NGA008,Nganzai,NG008026,Yes,Humanitarian,Feb,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,FSC,Food assistance (cash / voucher / in kind),Ongoing,Borno,NGA008,Magumeri,NG008020,Yes,Humanitarian,Feb,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,FSC,Food assistance (cash / voucher / in kind),Ongoing,Yobe,NGA036,Fika,NG036004,Yes,Humanitarian,Feb,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,FSC,Food assistance (cash / voucher / in kind),Ongoing,Yobe,NGA036,Machina,NG036011,Yes,Humanitarian,Feb,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,FSC,Food assistance (cash / voucher / in kind),Ongoing,Yobe,NGA036,Fika,NG036004,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,FSC,Food assistance (cash / voucher / in kind),Ongoing,Yobe,NGA036,Machina,NG036011,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,FSC,Food assistance (cash / voucher / in kind),Ongoing,Borno,NGA008,Monguno,NG008024,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Reporting,FSC,Food assistance (cash / voucher / in kind),Ongoing,Borno,NGA008,Magumeri,NG008020,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,FSC,Food assistance (cash / voucher / in kind),Ongoing,Borno,NGA008,Nganzai,NG008026,Yes,Humanitarian,Jan,2023
AAH/ACF,Action Against Hunger,INGO,Implementing,FSC,Food assistance (cash / voucher / in kind),Ongoing,Borno,NGA008,Magumeri,NG008020,Yes,Humanitarian,Jan,2023
AAN,Actionaid Nigeria,NNGO,Reporting,ERL,Governance Restoration/government capacity building,Ongoing,Borno,NGA008,Maiduguri,NG008021,Yes,Humanitarian,Jan,2023
