organisation,org_acronym,org_type,project_sector,activities,status,state,lga,ward,ishrp,response_type,isrp,people_reached,month,year
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Jewu / Lamboa,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Dalori / Wanori,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Bale Galtimari,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Bale Galtimari,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Dusuman,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Mashamari,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Gongulong,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Dusuman,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Mairi,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Shehuri North,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Gamboru Liberty,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bulabulin,Yes,Humanitarian,,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Gwange  I,Yes,Humanitarian,,,Jan,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Toungo,No,Humanitarian,,,Jan,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Bako,No,Humanitarian,,,Jan,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Mbamoi,No,Humanitarian,,,Jan,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Mbamba,No,Humanitarian,,,Jan,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Makama 'A',No,Humanitarian,,,Jan,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Bole Yolde Pate,No,Humanitarian,,,Jan,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Bama,Buduwa / Bula Chirabe,No,Humanitarian,,,Jan,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,No,Humanitarian,,,Jan,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Ngala,Ngala Ward,No,Humanitarian,,,Jan,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,No,Humanitarian,,,Jan,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Bama,Buduwa / Bula Chirabe,No,Humanitarian,,,Jan,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Ngala,Ngala Ward,No,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gulani,Bumsa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gulani,Bumsa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gulani,Bularafa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gulani,Bularafa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gulani,Bara,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Gujba,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Gujba,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Gujba,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Gujba,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Gujba,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Gujba,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Gujba,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Gujba,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Buniyadi North / South,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Buniyadi North / South,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Buniyadi North / South,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Buniyadi North / South,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Buniyadi North / South,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Buniyadi North / South,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Bunigari/Lawanti,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Bunigari/Lawanti,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Yobe,Gujba,Bunigari/Lawanti,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Ngala,Ngala Ward,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Ngala,Ngala Ward,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Mafoni,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Lamisula/Jabba Mari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Konduga,Dalori / Wanori,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Konduga,Dalori / Wanori,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Jere,Mashamari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Jere,Dusuman,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Jere,Dusuman,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Jere,Dala Lawanti,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Gwoza,Pulka/Bokko,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Gwoza,Pulka/Bokko,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Gwoza,Pulka/Bokko,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Gwoza,Gwoza Wakane / Bulabulin,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Gwoza,Gwoza Wakane / Bulabulin,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Gwoza,Gwoza Town Gadamayo,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Chibok,Kuburmbula,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Chibok,Kuburmbula,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Chibok,Kuburmbula,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Chibok,Korongilim,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Chibok,Chibok Wuntaku,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Chibok,Chibok Wuntaku,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Chibok,Chibok Likama,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Chibok,Chibok Likama,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Chibok,Chibok Garu,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Bama,Shehuri / Hausari / Mairi,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Borno,Bama,Buduwa / Bula Chirabe,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola South,Ngurore,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola South,Ngurore,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola South,Ngurore,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola South,Ngurore,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola South,Namtari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola South,Namtari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola South,Namtari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola South,Namtari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola South,Namtari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola South,Namtari,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola South,Makama 'A',Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola South,Bole Yolde Pate,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola South,Adarawo,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola South,Adarawo,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola North,Nassarawo,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola North,Nassarawo,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola North,Nassarawo,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Yola North,Jambutu,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Mujara,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Mugulbu/ Yadafa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Lamorde,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Lamorde,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Gude,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Gude,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Mubi South,Gude,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Vimtim,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Lokuwa,Yes,Humanitarian,,,Jan,2019
International Organization for Migration,IOM,UN Agency,HEA,Health Activities,Ongoing,Adamawa,Mubi North,Lokuwa,Yes,Humanitarian,,,Jan,2019
