organisation,org_acronym,org_type,project_sector,activities,status,state,lga,ward,ishrp,response_type,isrp,month,year
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Gubio Town II,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Zowo,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Ngetra,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,Mar,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Mutai,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gujba,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Ngurbuwa,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gotala/Gotumba,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gotala/Gotumba,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Ngurbuwa,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Goniri,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Dadingel,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Buniyadi North / South,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Jan,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  II,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bolori  I,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Magumeri,Gaji Ganna  I,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Mutai,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gujba,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Ngurbuwa,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Ngurbuwa,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gotala/Gotumba,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Gotala/Gotumba,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Goniri,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Dadingel,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Yobe,Gujba,Buniyadi North / South,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Gubio Town II,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Zowo,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Gubio,Ngetra,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Nganzai,Gajiram,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Monguno,Monguno,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,Feb,2019
Action Against Hunger,AAH/ACF,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Maisandari,Yes,Humanitarian,,Feb,2019
Agaji Global Unity Foundation,AGUF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Namtari,No,Humanitarian,,Mar,2019
Agaji Global Unity Foundation,AGUF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Michika,Minkisi/ Wuro Ngiki,No,Humanitarian,,Mar,2019
Agaji Global Unity Foundation,AGUF,NNGO,HEA,Health Activities,Ongoing,Adamawa,Michika,Sukumu / Tillijo,No,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Jewu / Lamboa,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Dalori / Wanori,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Bale Galtimari,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Bale Galtimari,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Dusuman,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Mashamari,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Dala Lawanti,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Gongulong,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Dusuman,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Mairi,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Shehuri North,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Gamboru Liberty,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bulabulin,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Gwange  I,Yes,Humanitarian,,Mar,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Jewu / Lamboa,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Dalori / Wanori,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Bale Galtimari,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Bale Galtimari,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Dusuman,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Mashamari,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Gongulong,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Dusuman,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Mairi,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Shehuri North,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Gamboru Liberty,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bulabulin,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Gwange  I,Yes,Humanitarian,,Jan,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Jewu / Lamboa,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Auno / Chabbol,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Konduga,Dalori / Wanori,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Bale Galtimari,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Bale Galtimari,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Dusuman,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Mashamari,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Old Maiduguri,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Gongulong,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Dusuman,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Jere,Mairi,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Shehuri North,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Gamboru Liberty,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Bulabulin,Yes,Humanitarian,,Feb,2019
CARE International,CARE,INGO,HEA,Health Activities,Ongoing,Borno,Maiduguri,Gwange  I,Yes,Humanitarian,,Feb,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Toungo,No,Humanitarian,,Jan,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Bako,No,Humanitarian,,Jan,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Mbamoi,No,Humanitarian,,Jan,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Mbamba,No,Humanitarian,,Jan,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Makama 'A',No,Humanitarian,,Jan,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola South,Bole Yolde Pate,No,Humanitarian,,Jan,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola North,Luggere,No,Humanitarian,,Feb,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola North,Nassarawo,No,Humanitarian,,Feb,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola North,Karena,No,Humanitarian,,Feb,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola North,Jambutu,No,Humanitarian,,Feb,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola North,Gwadabawa,No,Humanitarian,,Feb,2019
Dobiyan Women and Youth Initiative,DWYI,NNGO,HEA,Health Activities,Ongoing,Adamawa,Yola North,Doubeli,No,Humanitarian,,Feb,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Bama,Buduwa / Bula Chirabe,No,Humanitarian,,Jan,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,No,Humanitarian,,Jan,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Ngala,Ngala Ward,No,Humanitarian,,Jan,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Dikwa,Dikwa,No,Humanitarian,,Jan,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Bama,Buduwa / Bula Chirabe,No,Humanitarian,,Jan,2019
Family Health International,FHI360,INGO,HEA,Health Activities,Ongoing,Borno,Ngala,Ngala Ward,No,Humanitarian,,Jan,2019
